 antecedents consequents "antecedent support" "consequent support" support confidence lift leverage conviction
0 frozenset({'A1'}) frozenset({'used_app_before_no'}) 0.7307692307692307 0.9615384615384616 0.7115384615384616 0.9736842105263159 1.0126315789473685 0.00887573964497046 1.4615384615384683
1 frozenset({'used_app_before_no'}) frozenset({'A1'}) 0.9615384615384616 0.7307692307692307 0.7115384615384616 0.74 1.0126315789473685 0.00887573964497046 1.0355029585798818
2 frozenset({'A5'}) frozenset({'used_app_before_no'}) 0.75 0.9615384615384616 0.7307692307692307 0.9743589743589743 1.0133333333333332 0.009615384615384581 1.4999999999999978
3 frozenset({'used_app_before_no'}) frozenset({'A5'}) 0.9615384615384616 0.75 0.7307692307692307 0.7599999999999999 1.0133333333333332 0.009615384615384581 1.0416666666666663
4 frozenset({'A6'}) frozenset({'used_app_before_no'}) 0.7692307692307693 0.9615384615384616 0.7403846153846154 0.9625 1.001 0.0007396449704141217 1.0256410256410255
5 frozenset({'used_app_before_no'}) frozenset({'A6'}) 0.9615384615384616 0.7692307692307693 0.7403846153846154 0.77 1.001 0.0007396449704141217 1.0033444816053512
6 frozenset({'used_app_before_no'}) frozenset({'A9'}) 0.9615384615384616 0.7884615384615384 0.7596153846153846 0.7899999999999999 1.0019512195121951 0.0014792899408283544 1.007326007326007
7 frozenset({'A9'}) frozenset({'used_app_before_no'}) 0.7884615384615384 0.9615384615384616 0.7596153846153846 0.9634146341463414 1.0019512195121951 0.0014792899408283544 1.0512820512820495
8 frozenset({'jundice_no'}) frozenset({'autism_no'}) 0.8461538461538461 0.8653846153846154 0.7596153846153846 0.8977272727272727 1.0373737373737373 0.02736686390532539 1.3162393162393156
9 frozenset({'autism_no'}) frozenset({'jundice_no'}) 0.8653846153846154 0.8461538461538461 0.7596153846153846 0.8777777777777777 1.0373737373737373 0.02736686390532539 1.2587412587412576
10 frozenset({'jundice_no'}) frozenset({'used_app_before_no'}) 0.8461538461538461 0.9615384615384616 0.8173076923076923 0.9659090909090909 1.0045454545454546 0.0036982248520709415 1.1282051282051284
11 frozenset({'used_app_before_no'}) frozenset({'jundice_no'}) 0.9615384615384616 0.8461538461538461 0.8173076923076923 0.85 1.0045454545454546 0.0036982248520709415 1.0256410256410255
12 frozenset({'autism_no'}) frozenset({'used_app_before_no'}) 0.8653846153846154 0.9615384615384616 0.8365384615384616 0.9666666666666667 1.0053333333333334 0.004437869822485174 1.1538461538461533
13 frozenset({'used_app_before_no'}) frozenset({'autism_no'}) 0.9615384615384616 0.8653846153846154 0.8365384615384616 0.87 1.0053333333333332 0.004437869822485174 1.0355029585798814
14 "frozenset({'jundice_no', 'autism_no'})" frozenset({'used_app_before_no'}) 0.7596153846153846 0.9615384615384616 0.7403846153846154 0.9746835443037976 1.0136708860759494 0.009985207100591809 1.5192307692307734
15 "frozenset({'jundice_no', 'used_app_before_no'})" frozenset({'autism_no'}) 0.8173076923076923 0.8653846153846154 0.7403846153846154 0.9058823529411766 1.0467973856209152 0.03309911242603547 1.4302884615384628
16 "frozenset({'autism_no', 'used_app_before_no'})" frozenset({'jundice_no'}) 0.8365384615384616 0.8461538461538461 0.7403846153846154 0.8850574712643678 1.0459770114942528 0.03254437869822491 1.3384615384615388
17 frozenset({'jundice_no'}) "frozenset({'autism_no', 'used_app_before_no'})" 0.8461538461538461 0.8365384615384616 0.7403846153846154 0.875 1.0459770114942528 0.03254437869822491 1.3076923076923075
18 frozenset({'autism_no'}) "frozenset({'jundice_no', 'used_app_before_no'})" 0.8653846153846154 0.8173076923076923 0.7403846153846154 0.8555555555555555 1.046797385620915 0.03309911242603547 1.2647928994082838
19 frozenset({'used_app_before_no'}) "frozenset({'jundice_no', 'autism_no'})" 0.9615384615384616 0.7596153846153846 0.7403846153846154 0.77 1.0136708860759494 0.009985207100591809 1.045150501672241
